article_id,cluster
108775015,8
108775044,15
108775051,8
110065001,19
110065002,19
110065011,19
111565001,10
111565003,15
111586001,10
111593001,10
111609001,19
112679048,2
112679052,2
114428026,19
114428030,19
116379047,13
118458003,8
118458004,15
118458028,17
118458029,8
118458034,15
118458038,8
118458039,15
120129001,13
120129014,13
120129018,13
120129025,5
123173001,10
126589006,18
126589007,18
126589010,18
126589011,18
126589012,18
129085001,10
129085026,7
129085027,7
130035001,10
141661022,12
141661025,11
144993001,19
145872001,13
145872037,16
145872043,13
145872051,16
145872052,16
145872053,16
146706001,15
146706004,15
146706005,6
146721001,18
146721002,18
146730001,10
147339034,5
148033001,10
148033006,15
150959011,8
150959013,8
153115019,10
153115020,14
153115021,19
153115039,19
153115040,10
153115043,19
156224001,19
156224002,19
156227001,19
156227002,19
156231001,14
156231002,15
156289011,7
156610001,17
156610007,17
156610010,16
158340001,14
160442007,3
160442010,3
160442042,17
160442043,10
162074062,9
162074069,9
162074071,9
163734002,7
163734054,7
164912035,19
164912039,19
174057022,11
174057026,9
174057027,11
174057028,11
174057029,11
174057030,11
174057032,11
174057033,11
174057035,11
174057036,11
174057037,11
174057038,11
174057039,11
174057040,11
176209023,17
176209025,17
176209033,15
176209035,15
176209039,17
176209040,17
176209044,15
176209046,17
176550016,9
176550017,9
176550018,9
176550020,9
176550021,9
176754001,18
176754003,18
176754019,18
179123001,10
179123040,13
179208001,10
179208008,1
179393001,19
179393018,19
179950001,14
179950002,18
179950017,18
181160009,6
181448022,9
181448102,9
181448103,9
181448104,9
181448105,9
181448106,9
181448109,9
182909001,13
183815013,18
184121021,19
184123020,19
184583014,19
186262001,18
186262006,18
186262007,18
186262013,18
186264014,18
186264015,18
186264016,18
186266004,18
186267001,18
186372011,13
186372042,5
186372045,5
186595001,9
187949016,11
187949019,11
187949020,11
187949025,11
187949026,11
187949028,11
187949029,11
187949030,11
187949031,11
187949032,4
188183001,19
188183008,19
188183009,19
188183010,19
188183012,19
188183014,19
188183015,19
188183016,19
188183018,19
188183020,19
188183021,19
188183022,19
188183023,19
189383001,6
189383014,6
189616001,10
189616006,5
189616007,5
189616008,5
189616009,5
189616014,5
189616015,5
189616016,5
189616028,7
189616032,5
189616038,7
189626001,14
189634001,6
189634031,7
189654001,8
189654045,2
189654046,15
189654047,15
189691033,6
189691044,6
189691051,7
189691063,6
189691067,6
189691075,15
189955076,17
190021001,19
190021003,19
190021021,19
190252020,19
192460006,6
192960023,18
194037001,13
194037002,15
194242047,7
194242048,7
194242049,7
194242050,7
194270002,6
194270044,6
194270045,6
194270046,6
194902033,7
198518010,9
198518017,9
198518020,9
198518023,9
198518031,9
198714001,13
198714006,13
199119038,5
200182001,19
200182002,19
200761022,8
200761028,17
200761029,2
201219001,19
201219003,19
201219011,19
201219012,19
201219013,19
201219014,19
201219016,19
201219017,19
202017055,15
203027045,8
203027047,7
203027048,7
203595034,16
203595036,16
203595040,12
203595048,12
203595058,16
204892024,18
204892029,18
204892032,18
205225001,19
211143021,16
211143022,15
211143023,8
211143036,8
211143037,8
211143040,19
212042036,7
212042043,9
212042066,9
212042070,6
212629004,10
212629031,13
212629032,13
212629033,6
212629035,18
212629036,15
212629040,13
212629043,18
212629047,15
212629048,14
212629049,13
212629050,5
212629051,6
212766041,1
212766042,12
212766043,1
212766045,1
212766046,1
213690001,18
213691001,7
213691073,7
213691075,7
213691080,7
213691083,7
214844001,10
214844002,18
214844003,18
214844004,18
214844008,18
215248002,13
215303001,18
215303002,18
215303005,18
215324023,18
215337001,17
215337003,17
215337038,17
215337039,17
215337059,8
215337066,15
215337067,15
215589001,8
215589002,8
216081011,7
216961011,18
217207045,11
217207046,11
217207047,9
217207048,9
217207055,12
217727002,17
217727003,19
217727018,15
218354001,13
218354020,15
218354021,13
218354045,13
218354047,5
218829002,18
218829014,18
218829015,18
219075014,1
219075017,1
219075021,1
219075023,1
219075028,1
220094001,13
220094010,15
220094011,13
220094015,5
220094016,13
220094018,13
220094019,10
220094020,10
220094021,13
220365001,18
220365002,18
220365004,8
220365007,18
224314007,18
224314011,18
224314013,18
224314016,18
224314017,18
224314018,18
224337001,18
224337008,18
224521001,8
224521007,13
224606019,18
224606022,18
224606025,18
224606031,18
225286014,13
225784001,6
225784023,7
225784037,6
225784039,6
225784040,2
225784043,6
225784044,2
225784045,2
226011008,18
226959007,19
226959008,19
226959009,19
228257001,14
228257002,15
228257003,10
228257004,15
228257005,19
228257008,19
233091003,7
233091015,7
233091016,7
233091019,5
233091020,7
233091021,7
233091022,7
233672016,8
234187001,18
234187030,18
234421001,19
234421002,19
234421004,19
234432001,19
234432002,15
234622003,6
234622004,6
234622007,6
235596002,18
235732024,19
235732026,19
235732029,19
237032003,7
237222001,13
237222012,13
237222016,15
237347004,13
237347011,15
237347017,8
